[0.000000] (-) TimerEvent: {}
[0.000080] (-) JobUnselected: {'identifier': 'ar_loc_base'}
[0.000096] (-) JobUnselected: {'identifier': 'ar_mapping_base'}
[0.000105] (-) JobUnselected: {'identifier': 'ar_slam_base'}
[0.000113] (-) JobUnselected: {'identifier': 'button_server'}
[0.000121] (-) JobUnselected: {'identifier': 'collision_avoidance_base'}
[0.000128] (-) JobUnselected: {'identifier': 'cs7630_msgs'}
[0.000135] (-) JobUnselected: {'identifier': 'face_detect_base'}
[0.000143] (-) JobUnselected: {'identifier': 'face_msg'}
[0.000150] (-) JobUnselected: {'identifier': 'final_project'}
[0.000157] (-) JobUnselected: {'identifier': 'floor_nav'}
[0.000164] (-) JobUnselected: {'identifier': 'joy_pack'}
[0.000171] (-) JobUnselected: {'identifier': 'keyboard_teleop'}
[0.000178] (-) JobUnselected: {'identifier': 'obstacle_avoidance_base'}
[0.000186] (-) JobUnselected: {'identifier': 'occgrid_planner'}
[0.000193] (-) JobUnselected: {'identifier': 'occgrid_planner_base'}
[0.000200] (-) JobUnselected: {'identifier': 'rover_driver_base'}
[0.000207] (-) JobUnselected: {'identifier': 'task_manager_client_py'}
[0.000214] (-) JobUnselected: {'identifier': 'task_manager_lib'}
[0.000221] (-) JobUnselected: {'identifier': 'task_manager_msgs'}
[0.000229] (-) JobUnselected: {'identifier': 'task_manager_nav2'}
[0.000236] (-) JobUnselected: {'identifier': 'task_manager_sync'}
[0.000243] (-) JobUnselected: {'identifier': 'turtlebot_launch'}
[0.000250] (-) JobUnselected: {'identifier': 'vrep4_helpers'}
[0.000257] (-) JobUnselected: {'identifier': 'vrep_ros_teleop'}
[0.000264] (-) JobUnselected: {'identifier': 'wifi_map_base'}
[0.000271] (-) JobUnselected: {'identifier': 'wpa_cli_msgs'}
[0.000278] (-) EventReactorShutdown: {}
